date,id,sent_neg,sent_neu,sent_pos,sent_comp,topic_freq,topic_density
2018-12-29 06:44:27,7814920641439868162,0.07,0.903,0.028,-0.8712,1.0,0.006211180124223602
2018-12-29 07:00:12,8560296143620436202,0.034,0.801,0.165,0.9943,0.0,0.0
2018-12-29 07:00:24,844840064627229156,0.028,0.786,0.186,0.994,0.0,0.0
2018-12-29 07:02:03,6894468037697972349,0.0,0.912,0.088,0.6249,0.0,0.0
2018-12-29 07:11:47,7475938598825033953,0.042,0.881,0.077,0.9944,1.0,0.0009416195856873823
2018-12-29 07:12:13,1994314551396556231,0.091,0.828,0.08,-0.3098,0.0,0.0
2018-12-29 07:12:23,7995520413002806399,0.093,0.822,0.084,-0.461,0.0,0.0
2018-12-29 07:12:44,8139535682104521468,0.052,0.907,0.042,-0.4685,0.0,0.0
2018-12-29 07:12:54,2921163995532371456,0.067,0.856,0.077,0.0338,0.0,0.0
2018-12-29 07:13:04,5363968163113622853,0.049,0.907,0.044,-0.3532,0.0,0.0
2018-12-29 07:13:15,1574922847068582790,0.076,0.881,0.043,-0.6664,0.0,0.0
2018-12-29 07:23:00,8653127675571657082,0.0,1.0,0.0,0.0,0.0,0.0
2018-12-29 07:32:04,6428476203580337748,0.067,0.893,0.04,-0.47,0.0,0.0
2018-12-29 07:32:14,246386631358879974,0.067,0.893,0.04,-0.47,0.0,0.0
2018-12-29 07:32:25,1283018246590677420,0.067,0.88,0.054,-0.4685,0.0,0.0
2018-12-29 07:32:35,2735769387537256332,0.067,0.879,0.055,-0.3098,0.0,0.0
2018-12-29 07:39:56,440383574324817774,0.072,0.802,0.125,0.743,0.0,0.0
2018-12-29 07:52:13,1112938831160394337,0.049,0.883,0.068,-0.1416,0.0,0.0
2018-12-29 07:52:23,5088317785838524920,0.094,0.864,0.042,-0.7472,0.0,0.0
2018-12-29 07:52:33,6971734011302983082,0.078,0.877,0.044,-0.6546,0.0,0.0
2018-12-29 07:52:43,9137174062771273351,0.049,0.891,0.06,0.0356,0.0,0.0
2018-12-29 07:52:53,4274543915618952864,0.048,0.858,0.095,0.4819,0.0,0.0
2018-12-29 07:53:04,4270751842539805982,0.106,0.812,0.082,-0.5043,0.0,0.0
